district,lat,long
AYODHYA,26.7990707,82.2052321
Adilabad,19.5,78.5
Agar Malwa,23.9342963,76.14523314122312
Agra,27.1752554,78.0098161
Ahmedabad,23.0216238,72.5797068
Ahmednagar,19.162772500000003,74.85802430085195
Aizawl,23.7435236,92.7382905
Ajmer,26.4691,74.639
Akola,20.76181225,77.1921156663574
Aligarh,27.833333,78.166667
Alipurduar,26.4851573,89.5246926
Alirajpur,22.285939550000002,74.35389642980134
Almora,29.703094999999998,79.43317023326716
Alwar,27.5,76.5
Ambala,30.3843674,76.770421
Ambedkar Nagar,26.40349795,82.60728148676125
Amethi,26.34738315,81.6238783207884
Amravati,21.15454115,77.64429617998744
Amreli,20.866667,70.75
Amritsar,31.6343083,74.8736788
Amroha,28.9233969,78.48831693262684
Anand,22.5586555,72.9627227
Anantapur,14.6546235,77.55625984224562
Anantnag,33.7368773,75.1455138
Anjaw,28.1114301,96.82699963398373
Anugul,20.8411255,85.08040066385269
Anuppur,23.03525965,81.3884438474638
Araria,26.26498795,87.37162648106798
Arvalli,37.5089034,30.4161033
Ashoknagar,24.576189,77.7302895
Auraiya,26.65573395,79.51504701181831
Aurangabad,24.786306,84.41448983395554
Bagalkot,16.1853166,75.6967919
Bageshwar,30.0084975,79.93004575415591
Bagpat,23.4305284,69.2124939
Bahraich,27.7336958,81.47732127661058
Balaghat,21.966667,80.333333
Balangir,20.74978325,83.44097217446247
Balasore,21.5002888,86.9202627
Ballia,25.877932549999997,84.11995931460379
Balod,20.7277192,81.1446947513626
Balodabazar,21.6542,82.1739
Balrampur,27.4504805,82.39541774073132
Banaskantha,24.172056,72.431134
Banda,-5.5,126.5
Bandipora,34.4232433,74.635965
Bangalore Rural,13.0010872,77.3361225
Bangalore Urban,12.94514225,77.55364499971128
Banka,24.8655681,86.87278642295597
Bankura,23.13195425,87.20739720367507
Banswara,23.5,74.333333
Barabanki,26.93823105,81.38609761204991
Baramula,34.566667,74.75
Baran,24.92077465,76.68218371245564
Bareilly,28.416667,79.383333
Barmer,25.75,71.5
Barnala,30.3704685,75.504017418548
Barwani,22.0333621,74.8978374
Bastar,19.11912825,81.82918648971713
Basti,26.724789,82.79326865024002
Bathinda,30.17911535,75.04710156312628
Begusarai,25.5127194,86.09057109140021
Belgaum,15.8572666,74.5069343
Bellary,15.1433952,76.9193876
Betul,21.8796162,77.87568124563079
Bhadoi,0.0,0.0
Bhadradri Kothagudem,17.71534525,80.57149761778712
Bhadrak,21.0633288,86.5053731
Bhagalpur,25.2871758,87.13033088387233
Bhandara,21.12304765,79.79390882119336
Bharatpur,27.6806167,84.4308773
Bharuch,21.75,73.0
Bhavnagar,21.7718836,72.1416449
Bhilwara,25.5,74.75
Bhiwani,28.7931703,76.1391283
Bhojpur,25.25,84.25
Bhopal,23.2584857,77.401989
Bidar,43.4391702,-1.5898909
Bijapur,18.7935679,80.815939
Bijnor,29.40604895,78.48087839917878
Bikaner,28.0159286,73.3171367
Bilaspur,28.8680526,79.29838501460121
Biswanath,26.7773957,93.25694367444689
Bokaro,23.699127949999998,85.99106894165021
Bongaigaon,26.412376950000002,90.57149765106257
